AriaId,Character,Clef1,Clef2,Clef3
0001,Didone,C-1,,
0002,Didone,C-1,,
0003,Didone,C-1,,
0004,Enea,C-1,,
0005,Selene,C-1,,
0006,Didone,C-1,,
0007,Didone,C-1,,
0008,Didone,C-1,,
0009,Didone,C-1,,
0010,Didone,C-1,,
0011,Didone,C-1,,
0012,Didone,C-1,,
0013,Didone,C-1,,
0014,Didone,C-1,,
0015,Didone,C-1,,
0016,Didone,C-1,,
0017,Didone,C-1,,
0018,Didone,C-1,,
0019,Didone,C-1,,
0020,Didone,C-1,,
0021,Didone,C-1,,
0022,Didone,C-1,,
0023,Selene,C-1,,
0024,Araspe,C-4,,
0025,Enea,C-1,,
0026,Osmida,C-1,,
0027,Iarba,C-4,,
0028,Enea,C-1,,
0029,Enea,C-1,,
0030,Selene,C-1,,
0031,Didone,C-1,,
0032,Didone,C-1,,
0033,Didone,C-1,,
0034,Didone,C-1,,
0035,Didone,C-1,,
0036,Didone,C-1,,
0037,Didone,C-1,,
0038,Didone,C-1,,
0039,Didone,C-1,,
0040,Didone,C-1,,
0041,Didone,C-1,,
0042,Didone,C-1,,
0043,Didone,C-1,,
0044,Didone,C-1,,
0045,Didone,C-1,,
0046,Araspe,C-4,,
0047,Didone,C-1,,
0048,Didone,C-1,,
0049,Didone,C-1,,
0050,Didone,C-1,,
0051,Didone,C-1,,
0052,Didone,C-1,,
0053,Didone,C-1,,
0054,Selene,C-1,,
0055,Osmida,C-3,,
0056,Iarba,C-3,,
0057,Enea,C-1,,
0058,Selene,C-1,,
0059,Iarba,C-3,,
0060,Iarba,C-3,,
0061,Enea,C-1,,
0062,Osmida,C-4,,
0063,Iarba,C-4,,
0064,Araspe,C-1,,
0065,Enea,C-1,,
0066,Selene,C-1,,
0067,Iarba,C-4,,
0068,Araspe,C-1,,
0069,Osmida,C-4,,
0070,Iarba,C-4,,
0071,Araspe,C-1,,
0072,Enea,C-1,,
0073,Osmida,C-1,,
0074,Enea,C-1,,
0075,Osmida,C-4,,
0076,Araspe,C-3,,
0077,Enea,C-1,,
0078,Iarba,C-4,,
0079,Didone,C-1,,
0080,Timante,C-1,,
0081,Timante,C-1,,
0082,Timante,C-1,,
0083,Timante,C-1,,
0086,Dircea,C-1,,
0087,Timante,C-1,,
0088,Timante,C-1,,
0089,Timante,C-1,,
0090,Timante,C-1,,
0091,Dircea,C-1,,
0092,Enea,C-1,,
0093,Timante,C-1,,
0094,Timante,C-1,,
0095,Timante,C-1,,
0096,Timante,C-1,,
0097,Timante,C-1,,
0098,Timante,C-1,,
0099,Timante,C-1,,
0100,Timante,C-1,,
0101,Enea,C-3,,
0102,Timante,C-1,,
0103,Enea,C-1,,
0104,Enea,C-1,,
0105,Enea,C-1,,
0106,Enea,C-1,,
0107,Enea,C-1,,
0108,Enea,C-1,,
0109,Enea,C-3,,
0110,Dircea,C-1,,
0111,Dircea,C-1,,
0112,Enea,C-1,,
0113,Dircea,C-1,,
0114,Dircea,C-1,,
0115,Dircea,C-1,,
0116,Dircea,C-1,,
0117,Dircea,C-1,,
0118,Dircea,C-1,,
0119,Dircea,C-1,,
0120,Dircea,C-1,,
0121,Iarba,,,
0122,Dircea,C-1,,
0123,Iarba,C-1,,
0124,Iarba,C-4,,
0125,Iarba,C-4,,
0126,Iarba,C-3,,
0127,Iarba,C-4,,
0128,Iarba,C-4,,
0129,Iarba,C-4,,
0130,Iarba,C-1,,
0131,Iarba,C-4,,
0132,Iarba,C-4,,
0133,Iarba,C-4,,
0134,Didone,C-1,,
0135,Iarba,C-4,,
0136,Didone,C-1,,
0137,Iarba,C-4,,
0138,Didone&Enea,C-1,C-1,
0139,Enea,C-1,,
0140,Araspe,C-1,,
0141,Enea,C-1,,
0142,Iarba,C-4,,
0143,Araspe,C-1,,
0144,Didone,C-1,,
0145,Selene,C-1,,
0146,Didone,C-1,,
0147,Iarba,C-1,,
0148,Selene,C-1,,
0149,Enea,C-1,,
0150,Osmida,C-3,,
0151,Enea,C-3,,
0152,Selene,C-1,,
0153,Enea,C-1,,
0154,Iarba,C-4,,
0155,Araspe,C-1,,
0156,Enea,C-1,,
0157,Selene,C-1,,
0158,Iarba,C-4,,
0159,Didone,C-1,,
0160,Enea,C-1,,
0161,Osmida,C-4,,
0162,Araspe,C-1,,
0163,Araspe,C-1,,
0164,Didone,C-1,,
0165,Araspe,C-1,,
0166,Didone,C-1,,
0167,Enea,C-1,,
